spot_name,availability,lat,lon
ECCLES STREET - Mater Hospital,4,53.8701199999999,-6.25329999999999
ECCLES STREET - Mater Hospital Staff Car Park,1,53.86459,-6.24499333333333
ECCLES STREET - Mater Hospital Staff Car Park,4,53.8643999999999,-6.2447
ECCLES STREET - Mater Hospital Staff Car Park,4,53.86418,-6.24436666666666
ECCLES STREET - Mater Private,0,53.8594199999999,-6.23749333333333
"ECCLES STREET - The Dublin Neurological Institute, 57 Eccles Street",3,53.8628499999999,-6.24411333333332
"ECCLES STREET - Centre for Lung Health, 56 Eccles Street",5,53.86309,-6.24446666666666
"ECCLES STREET - Liver Centre, 55 Eccles Street",2,53.86333,-6.24483333333333
"ECCLES STREET - Heart House, 54 Eccles Street",5,53.8636099999999,-6.24522
"ECCLES STREET - The Mater Foundation, 53 Eccles Street",5,53.86388,-6.24562
"EDEN QUAY - Laughter Lounge, 8 Eden Quay",2,53.74824,-6.20563333333333
EDENMORE AVENUE - Cronin's Pharmacy,2,54.20475,-5.88100666666666
EDENMORE PARK - Health Centre,2,54.21093,-5.87475333333333
EDENMORE PARK - Saint Malachy's Boys School,0,54.21525,-5.86842
ELMWOOD AVENUE LOWER - Junction with Ranelagh,5,53.4941199999999,-6.18497333333333
ELY PLACE UPPER - Royal Hibernian Acadamy,3,53.6290599999999,-6.18687999999999
"ERRIGAL ROAD - Crumlin Medical Clinic, 1 Errigal Road",4,53.4879599999999,-6.48188666666667
ESSEX STREET EAST - Dollard & Co,1,53.7157999999999,-6.24393333333333
ESSEX STREET EAST - Dollard & Co,1,53.7159999999999,-6.24346666666666
EXCHANGE STREET UPPER - Hard Rock Hotel,5,53.7060599999999,-6.24785333333333
EXCHEQUER STREET - Central Hotel,5,53.6940199999999,-6.23028666666666
FAIRFIELD ROAD - Bank of Ireland,1,53.99553,-6.25303999999999
FAIRVIEW STRAND - Junction with Merville Avenue,5,53.92654,-6.10322
"FAUSSAGH AVENUE - Pelly's Pharmacy, 26 Faussagh Avenue",0,53.9554599999999,-6.36342
"FAUSSAGH AVENUE - Spar, 72 Faussagh Avenue",5,53.9589,-6.39026666666666
"FAUSSAGH AVENUE - Londis, 38 Faussagh Avenue",0,53.9563999999999,-6.367
FERGUSON ROAD - Opposite 1 Ferguson Road,1,53.9983,-6.21586666666666
FERGUSON ROAD - Opposite 3 Ferguson Road,5,53.9987,-6.2162
FINGLAS ROAD - Glasnevin Cemetery Museum,3,53.9869999999999,-6.29478666666667
FINGLAS ROAD OLD - Saint Brigid's National School,3,54.07294,-6.28768666666666
FINGLAS ROAD OLD - Saint Mary's Secondary School,3,54.07,-6.28126666666666
FISHAMBLE STREET - 31 Fishamble Street,5,53.7132499999999,-6.2566
FISHAMBLE STREET - 30 Fishamble Street,2,53.71278,-6.25656
FISHAMBLE STREET - 29 Fishamble Street,2,53.7119,-6.25643333333333
FISHAMBLE STREET - 28 Fishamble Street,3,53.711,-6.25626666666666
"FISHAMBLE STREET - Reptile Haven, 27 Fishamble Street",4,53.7106,-6.2562
FISHAMBLE STREET - Christ Church,2,53.7003,-6.25773333333333
FISHAMBLE STREET - Christ Church,2,53.7011,-6.25782
"FITZMAURICE ROAD - Post Office, 1 Fitzmaurice Road",1,54.1318999999999,-6.29407333333333
"FITZMAURICE ROAD - Marsellas Take Away, 10 Fitzmaurice Road",2,54.1309099999999,-6.29552666666666
FITZWILLIAM LANE - The Merrion Hotel,1,53.64743,-6.17675333333333
FITZWILLIAM LANE - The Merrion Hotel Spa,4,53.64653,-6.17533999999999
FITZWILLIAM PLACE - 9 Fitzwilliam Place,1,53.59324,-6.17514666666666
FITZWILLIAM SQUARE SOUTH - 35 Fitzwilliam Square South,3,53.60904,-6.18079333333333
"FITZWILLIAM STREET - NCBI Home, 12/13 Fitzwilliam Street",2,53.6850199999999,-6.06510666666666
FITZWILLIAM STREET LOWER - ESB Head Office,3,53.63175,-6.16079999999999
FITZWILLIAM STREET UPPER - 20 Fitzwilliam Street Upper,1,53.6132,-6.16846666666666
FLEET STREET - Temple Bar Hotel,1,53.72523,-6.21316
FOLEY STREET - Opposite Citas College Dublin,3,53.7987,-6.17223333333333
FOLEY STREET - Opposite Citas College Dublin,3,53.7990199999999,-6.17188666666666
FOLEY STREET - Liberty Park,0,53.7931599999999,-6.17805333333333
FOLEY STREET - Liberty Park,5,53.79284,-6.1784
FOSTER PLACE - Opposite Bank of Ireland,0,53.71328,-6.21764666666666
FOXFIELD CRESCENT - Kilbarrack Health Centre,0,54.17718,-5.75553333333333
FOXFIELD CRESCENT - Kilbarrack Health Centre,4,54.1772999999999,-5.75492
"FREDERICK STREET SOUTH - Trinity Townhouse, 29 Frederick Street South",4,53.6831699999999,-6.19709333333333
FUMBALLY LANE - Fumbally Court,2,53.6247,-6.27378666666667
GARDINER STREET UPPER - Saint Francis Xavier Church,5,53.86019,-6.21575333333333
GARDINER STREET UPPER - Saint Francis Xavier Church,2,53.85975,-6.21555333333333
GATEWAY AVENUE - Junction with Ballymun Road,2,54.2512199999999,-6.24096666666666
GATEWAY AVENUE - Junction with Ballymun Road,3,54.25114,-6.24147999999999
"GILFORD ROAD - Brabazon House, 2 Gilford Road",1,53.53598,-5.98849999999999
"GILFORD ROAD - Brabazon House, 2 Gilford Road",2,53.53563,-5.98693999999999
GLASNEVIN HILL - 52 Glasnevin Hill,3,54.0509999999999,-6.25923999999999
GLENGARRIFF PARADE - Ormsby's Newsagent,4,53.8876499999999,-6.24256666666666
GOLDEN LANE - Radisson Blu Hotel,1,53.6681599999999,-6.2481
GRANBY ROW - Colaiste Mhuire,1,53.8130599999999,-6.23950666666666
GRANBY ROW - Colaiste Mhuire,0,53.81264,-6.23919333333333
GRAND CANAL PLACE - Guinness Storehouse,4,53.677,-6.33426666666666
GRAND CANAL PLACE - Guinness Storehouse,5,53.6763,-6.33426666666666
GRAND CANAL PLACE - Guinness Storehouse,5,53.6755999999999,-6.33426666666666
GRAND CANAL QUAY - Clanwilliam Square,3,53.65824,-6.12096666666666
GRAND CANAL STREET LOWER - Sir Patrick Dun's Hospital,1,53.65503,-6.12606
GRAND CANAL STREET LOWER - Sir Patrick Dun's Hospital,2,53.65534,-6.12640666666666
GRANGEGORMAN LOWER - TU Dublin Grangegorman,5,53.8328999999999,-6.2959
GRANTHAM STREET - Gratham House,2,53.59424,-6.23769999999999
"GRATTAN CRESCENT - Inchicore Medical Centre, 15 Grattan Crescent",0,53.657218,-6.47903466666666
"GRATTAN CRESCENT - Inchicore Medical Centre, 15 Grattan Crescent",3,53.656611,-6.47914199999999
"GRATTAN CRESCENT - Opposite Inchicore Medical Centre, 15 Grattan Crescent",2,53.6578089999999,-6.47961333333332
GREEK STREET - Saint Michan's House,0,53.7401999999999,-6.27085333333333
GREEK STREET - Saint Michan's House,0,53.7408,-6.27093333333333
GREEK STREET - Saint Michan's House,2,53.74129,-6.271
GREEN STREET - Junction with King Street North,5,53.77598,-6.26033999999999
GREEN STREET - Junction with King Street North,2,53.77533,-6.26033333333333
GREENDALE AVENUE - North Bay Educate Together National School,4,54.18464,-5.74073333333333
GREENDALE ROAD - Kilbarrack Foxfield Pre School,1,54.17644,-5.74214666666666
"GREENLEA ROAD - Greenlea Pharmacy, 116 Greenlea Road",4,53.2908699999999,-6.38495333333333
GREENMOUNT LANE - Opposite 1 Greenmount Lane,3,53.5409199999999,-6.29158666666666
HADDINGTON ROAD - Saint Mary's Church,0,53.60724,-6.13136666666666
HADDINGTON ROAD - Junction with Percy Place,1,53.60104,-6.13910666666666
HALSTON STREET - Saint Michan's Church,4,53.76345,-6.2646
HALSTON STREET - Saint Michan's Church,4,53.76376,-6.26466
HARCOURT TERRACE - Junction with Adelaide Road,4,53.57875,-6.20143333333333
HARDWICKE PLACE - Opposite Saint George's Church,1,53.84823,-6.22816
HARDWICKE STREET - Junction with Frederick Court,4,53.83369,-6.23317999999999
"HARDWICKE STREET - Block 2, Dermot O'Dwyer House",5,53.8402699999999,-6.23204666666666
HAROLD'S CROSS ROAD - 77 Harold's Cross Road,2,53.50929,-6.28828666666667
